2023-04-02T12:30;2023-04-07T12:30;2110500.0;100;Ana Flores;8383728;ana@gmail;30123134;7;341-Torre B, 107-Torre A, 105-Torre A;2023-05-01T09:40
2023-02-02T12:30;2023-02-07T12:30;1507500.0;101;Pablo Hernandez;83838390;pab@gmail;30192939;5;341-Torre B, 105-Torre A;2023-05-01T09:43
2023-05-02T12:30;2023-05-08T12:30;1407000.0;102;Carol Florido;30939392;car@gmail;30134342;6;346-Torre A, 113-Torre A;2023-05-01T09:44
2023-02-02T12:31;2023-02-07T12:31;2412000.0;103;Ana Perez;33939023;ana@gmail;30134302;6;112-Torre A, 340-Torre B, 104-Torre B;2023-05-01T09:46
2023-05-02T12:31;2023-05-07T12:31;2103000.0;104;Camila Flores;2343234;cam@hotmail;3019233;4;105-Torre A, 351-Torre C;2023-05-01T09:47
2023-05-02T12:31;2023-05-06T12:31;1752500.0;105;Alejandra Garzon;324234234;ale@hotmal;301232344;6;103-Torre A, 349-Torre C;2023-05-01T09:52
2023-05-02T12:31;2023-05-03T12:31;701000.0;106;Sergio Ruiz;23424233;rui@outlook;30134324;6;345-Torre A, 1047-Torre C;2023-05-01T09:53
2023-09-09T12:31;2023-08-09T12:31;0.0;107;Clara;23523532;ca@hotmail;30192939;1;341-Torre B;2023-05-04T20:37
2023-02-02T12:31;2023-02-03T12:31;201000.0;108;1;1;1;1;11;103-Torre A;2023-05-19T00:10
2023-02-02T12:31;2023-02-02T12:31;100500.0;109;ca;332131;ca;30120322;21;103-Torre A;2023-05-21T23:59
